Fecha;Tipo de Cambio Minorista;Dólar Ahorro;Dólar MEP;Indice Merval;Badlar en $;Tasa de Interes deposito 30 días;Tasa de Interes prestamos por cuenta corriente;Crecimiento Económico;Riesgo crediticio;Desempleo;Indice de Volatilidad
03/01/2017;16,16;;;17911,2;20,125;18,35;;;;;5238,1
04/01/2017;16,16;;;18143,1;19,875;18,46;;;;;5238,1
05/01/2017;16,37;;;18222,7;19,75;18,29;;;;;5238,1
06/01/2017;16,23;;;18284,3;19,875;18,16;;;;;5047,62
09/01/2017;16,05;;;18509,9;19,875;18,24;;;;;5047,62
10/01/2017;16,08;;;18783,3;20,0625;18,44;;;;;4952,38
11/01/2017;16,1;;;18467,8;19,625;17,74;;;;;5333,33
12/01/2017;16,11;;;18591,3;19,625;18,13;;;;;5238,1
13/01/2017;16,08;;;18885,1;19,75;18,11;;;;;5047,62
16/01/2017;16,08;;;18997,5;19,75;18,01;;;;;5142,86
17/01/2017;16,09;;;18875,6;19,875;18,11;;;;;5619,05
18/01/2017;16,12;;;18870,1;19,75;18,11;;;;;5523,81
19/01/2017;16,2;;;18633,5;19,625;18,16;;;;;5523,81
20/01/2017;16,19;;;19039,5;19,5;17,88;;;;;5523,81
23/01/2017;16,13;;;19470,6;19,5;17,88;;;;;5714,29
24/01/2017;16,16;;;19366,9;19,625;17,04;;;;;6095,24
25/01/2017;16,19;;;19406,6;19,6875;18,02;;;;;6095,24
26/01/2017;16,18;;;19180,4;19,9375;18,16;;;;;6095,24
27/01/2017;16,19;;;19215,8;19,9375;18,03;;;;;6095,24
30/01/2017;16,15;;;18777,5;19,9375;18,72;;;;;6095,24
31/01/2017;16,17;;;19062,6;19,375;17,95;;;;;6095,24
01/02/2017;16,14;;;19200,8;20,1875;18,49;;;;;6095,24
02/02/2017;16,05;;;19375;20,25;17,85;;;;;5714,29
03/02/2017;15,92;;;19200,5;20;18,06;;;;;6000
06/02/2017;15,88;;;19248,7;19,625;17,77;;;;;5809,52
07/02/2017;15,98;;;19194,3;20,0625;17,9;;;;;5619,05
08/02/2017;15,95;;;19147,9;20,3125;18,34;;;;;5714,29
09/02/2017;15,96;;;19302,3;20,25;18,19;;;;;5619,05
10/02/2017;15,92;;;19502,9;19,625;17,42;;;;;5809,52
13/02/2017;15,81;;;19507,5;19,6875;17,84;;;;;5523,81
